t-ab	t̪ˠ a bˠ
m'eipeadúrach	mʲ e pʲ ə d̪ˠ uː ɾˠ a h
b'eipeadúraigh	bʲ e pʲ ə d̪ˠ uː ɾˠ iː
n-eipeadúraigh	nʲ e pʲ ə d̪ˠ uː ɾˠ iː
d'eipeadúraigh	dʲ e pʲ ə d̪ˠ uː ɾˠ iː
m'eipeadúraigh	mʲ e pʲ ə d̪ˠ uː ɾˠ iː
b'eipeaglotais	bʲ e pʲ ə ɡ l̻ˠ ə t̪ˠ ə ʃ
n-eipeaglotais	nʲ e pʲ ə ɡ l̻ˠ ə t̪ˠ ə ʃ
d'eipeaglotais	dʲ e pʲ ə ɡ l̻ˠ ə t̪ˠ ə ʃ
m'eipeaglotais	mʲ e pʲ ə ɡ l̻ˠ ə t̪ˠ ə ʃ
t-eipeaglotas	tʲ e pʲ ə ɡ l̻ˠ ə t̪ˠ ə sˠ
b'eipeaglotas	bʲ e pʲ ə ɡ l̻ˠ ə t̪ˠ ə sˠ
n-eipeaglotas	nʲ e pʲ ə ɡ l̻ˠ ə t̪ˠ ə sˠ
d'eipeaglotas	dʲ e pʲ ə ɡ l̻ˠ ə t̪ˠ ə sˠ
m'eipeaglotas	mʲ e pʲ ə ɡ l̻ˠ ə t̪ˠ ə sˠ
b'eipeagraim	bʲ e pʲ ə ɡ ɾˠ ə mʲ
n-eipeagraim	nʲ e pʲ ə ɡ ɾˠ ə mʲ
d'eipeagraim	dʲ e pʲ ə ɡ ɾˠ ə mʲ
m'eipeagraim	mʲ e pʲ ə ɡ ɾˠ ə mʲ
t-eipeagram	tʲ e pʲ ə ɡ ɾˠ ə mˠ
b'eipeagram	bʲ e pʲ ə ɡ ɾˠ ə mˠ
n-eipeagram	nʲ e pʲ ə ɡ ɾˠ ə mˠ
d'eipeagram	dʲ e pʲ ə ɡ ɾˠ ə mˠ
m'eipeagram	mʲ e pʲ ə ɡ ɾˠ ə mˠ
b'eipeasóide	bʲ e pʲ ə sˠ oː dʲ ə
n-eipeasóide	nʲ e pʲ ə sˠ oː dʲ ə
d'eipeasóide	dʲ e pʲ ə sˠ oː dʲ ə
m'eipeasóide	mʲ e pʲ ə sˠ oː dʲ ə
b'eipeasóidí	bʲ e pʲ ə sˠ oː dʲ iː
n-eipeasóidí	nʲ e pʲ ə sˠ oː dʲ iː
d'eipeasóidí	dʲ e pʲ ə sˠ oː dʲ iː
m'eipeasóidí	mʲ e pʲ ə sˠ oː dʲ iː
b'eipic	ˈ bʲ e  pʲ ə c
n-eipic	ˈ nʲ e  pʲ ə c
d'eipic	ˈ dʲ e  pʲ ə c
m'eipic	ˈ mʲ e  pʲ ə c
b'eipice	bʲ e pʲ i c ə
n-eipice	nʲ e pʲ i c ə
d'eipice	dʲ e pʲ i c ə
m'eipice	mʲ e pʲ i c ə
b'eipicí	bʲ e pʲ i c iː
n-eipicí	nʲ e pʲ i c iː
d'eipicí	dʲ e pʲ i c iː
m'eipicí	mʲ e pʲ i c iː
b'eipiciúla	bʲ e pʲ i c uː l̻ˠ ə
n-eipiciúla	nʲ e pʲ i c uː l̻ˠ ə
t-eipiciúrach	tʲ e pʲ i c uː ɾˠ a h
b'eipiciúrach	bʲ e pʲ i c uː ɾˠ a h
n-eipiciúrach	nʲ e pʲ i c uː ɾˠ a h
d'eipiciúrach	dʲ e pʲ i c uː ɾˠ a h
m'eipiciúrach	mʲ e pʲ i c uː ɾˠ a h
b'eipiciúrachais	bʲ e pʲ i c uː ɾˠ ə h ə ʃ
n-eipiciúrachais	nʲ e pʲ i c uː ɾˠ ə h ə ʃ
d'eipiciúrachais	dʲ e pʲ i c uː ɾˠ ə h ə ʃ
m'eipiciúrachais	mʲ e pʲ i c uː ɾˠ ə h ə ʃ
t-eipiciúrachas	tʲ e pʲ i c uː ɾˠ ə h ə sˠ
b'eipiciúrachas	bʲ e pʲ i c uː ɾˠ ə h ə sˠ
n-eipiciúrachas	nʲ e pʲ i c uː ɾˠ ə h ə sˠ
d'eipiciúrachas	dʲ e pʲ i c uː ɾˠ ə h ə sˠ
m'eipiciúrachas	mʲ e pʲ i c uː ɾˠ ə h ə sˠ
b'eipiciúraigh	bʲ e pʲ i c uː ɾˠ iː
n-eipiciúraigh	nʲ e pʲ i c uː ɾˠ iː
d'eipiciúraigh	dʲ e pʲ i c uː ɾˠ iː
m'eipiciúraigh	mʲ e pʲ i c uː ɾˠ iː
b'eipidéime	bʲ e pʲ i dʲ eː mʲ ə
n-eipidéime	nʲ e pʲ i dʲ eː mʲ ə
d'eipidéime	dʲ e pʲ i dʲ eː mʲ ə
m'eipidéime	mʲ e pʲ i dʲ eː mʲ ə
b'eipidéimeach	ˈ bʲ e  pʲ ə  dʲ e  mʲ a h
n-eipidéimeach	ˈ nʲ e  pʲ ə  dʲ e  mʲ a h
b'eipidéimeacha	bʲ e pʲ i dʲ eː mʲ a h ə
n-eipidéimeacha	nʲ e pʲ i dʲ eː mʲ a h ə
t-eipidéimeolaí	tʲ e pʲ i dʲ eː mʲ oː l̻ˠ iː
b'eipidéimeolaí	bʲ e pʲ i dʲ eː mʲ oː l̻ˠ iː
n-eipidéimeolaí	nʲ e pʲ i dʲ eː mʲ oː l̻ˠ iː
d'eipidéimeolaí	dʲ e pʲ i dʲ eː mʲ oː l̻ˠ iː
m'eipidéimeolaí	mʲ e pʲ i dʲ eː mʲ oː l̻ˠ iː
b'eipidéimeolaíocht	bʲ e pʲ i dʲ eː mʲ oː l̻ˠ ia h t̪ˠ
n-eipidéimeolaíocht	nʲ e pʲ i dʲ eː mʲ oː l̻ˠ ia h t̪ˠ
d'eipidéimeolaíocht	dʲ e pʲ i dʲ eː mʲ oː l̻ˠ ia h t̪ˠ
m'eipidéimeolaíocht	mʲ e pʲ i dʲ eː mʲ oː l̻ˠ ia h t̪ˠ
b'eipidéimeolaíochta	bʲ e pʲ i dʲ eː mʲ oː l̻ˠ ia h t̪ˠ ə
n-eipidéimeolaíochta	nʲ e pʲ i dʲ eː mʲ oː l̻ˠ ia h t̪ˠ ə
d'eipidéimeolaíochta	dʲ e pʲ i dʲ eː mʲ oː l̻ˠ ia h t̪ˠ ə
m'eipidéimeolaíochta	mʲ e pʲ i dʲ eː mʲ oː l̻ˠ ia h t̪ˠ ə
b'eipidéimeolaithe	bʲ e pʲ i dʲ eː mʲ oː l̻ˠ iː
n-eipidéimeolaithe	nʲ e pʲ i dʲ eː mʲ oː l̻ˠ iː
d'eipidéimeolaithe	dʲ e pʲ i dʲ eː mʲ oː l̻ˠ iː
m'eipidéimeolaithe	mʲ e pʲ i dʲ eː mʲ oː l̻ˠ iː
b'eipidéimí	bʲ e pʲ i dʲ eː mʲ iː
n-eipidéimí	nʲ e pʲ i dʲ eː mʲ iː
d'eipidéimí	dʲ e pʲ i dʲ eː mʲ iː
m'eipidéimí	mʲ e pʲ i dʲ eː mʲ iː
b'eipidéimigh	bʲ e pʲ i dʲ eː mʲ iː
n-eipidéimigh	nʲ e pʲ i dʲ eː mʲ iː
b'eipideirm	bʲ e pʲ i dʲ ə ɾʲ ə mʲ
n-eipideirm	nʲ e pʲ i dʲ ə ɾʲ ə mʲ
d'eipideirm	dʲ e pʲ i dʲ ə ɾʲ ə mʲ
m'eipideirm	mʲ e pʲ i dʲ ə ɾʲ ə mʲ
b'eipideirme	bʲ e pʲ i dʲ ə ɾʲ ə mʲ ə
n-eipideirme	nʲ e pʲ i dʲ ə ɾʲ ə mʲ ə
d'eipideirme	dʲ e pʲ i dʲ ə ɾʲ ə mʲ ə
m'eipideirme	mʲ e pʲ i dʲ ə ɾʲ ə mʲ ə
b'eipistéimeolaíocht	bʲ e pʲ i ʃ tʲ eː mʲ oː l̻ˠ ia h t̪ˠ
n-eipistéimeolaíocht	nʲ e pʲ i ʃ tʲ eː mʲ oː l̻ˠ ia h t̪ˠ
d'eipistéimeolaíocht	dʲ e pʲ i ʃ tʲ eː mʲ oː l̻ˠ ia h t̪ˠ
m'eipistéimeolaíocht	mʲ e pʲ i ʃ tʲ eː mʲ oː l̻ˠ ia h t̪ˠ
b'eipistéimeolaíochta	bʲ e pʲ i ʃ tʲ eː mʲ oː l̻ˠ ia h t̪ˠ ə
n-eipistéimeolaíochta	nʲ e pʲ i ʃ tʲ eː mʲ oː l̻ˠ ia h t̪ˠ ə
d'eipistéimeolaíochta	dʲ e pʲ i ʃ tʲ eː mʲ oː l̻ˠ ia h t̪ˠ ə
m'eipistéimeolaíochta	mʲ e pʲ i ʃ tʲ eː mʲ oː l̻ˠ ia h t̪ˠ ə
b'eipistil	ˈ bʲ e  pʲ i ʃ  tʲ ə lʲ
n-eipistil	ˈ nʲ e  pʲ i ʃ  tʲ ə lʲ
d'eipistil	ˈ dʲ e  pʲ i ʃ  tʲ ə lʲ
m'eipistil	ˈ mʲ e  pʲ i ʃ  tʲ ə lʲ
b'eipistile	bʲ e pʲ i ʃ tʲ i lʲ ə
n-eipistile	nʲ e pʲ i ʃ tʲ i lʲ ə
d'eipistile	dʲ e pʲ i ʃ tʲ i lʲ ə
m'eipistile	mʲ e pʲ i ʃ tʲ i lʲ ə
b'eipistilí	bʲ e pʲ i ʃ tʲ i lʲ iː
n-eipistilí	nʲ e pʲ i ʃ tʲ i lʲ iː
d'eipistilí	dʲ e pʲ i ʃ tʲ i lʲ iː
m'eipistilí	mʲ e pʲ i ʃ tʲ i lʲ iː
t-eirbiam	tʲ e ɾʲ ə bʲ ia mˠ
b'eirbiam	bʲ e ɾʲ ə bʲ ia mˠ
n-eirbiam	nʲ e ɾʲ ə bʲ ia mˠ
d'eirbiam	dʲ e ɾʲ ə bʲ ia mˠ
m'eirbiam	mʲ e ɾʲ ə bʲ ia mˠ
b'eirc	bʲ e ɾʲ c
n-eirc	nʲ e ɾʲ c
d'eirc	dʲ e ɾʲ c
m'eirc	mʲ e ɾʲ c
t-eire	ˈ tʲ e  ɾʲ ə
b'eire	ˈ bʲ e  ɾʲ ə
n-eire	ˈ nʲ e  ɾʲ ə
d'eire	ˈ dʲ e  ɾʲ ə
m'eire	ˈ mʲ e  ɾʲ ə
b'eireaballach	bʲ e ɾʲ ə bˠ ə l̻ˠ a h
n-eireaballach	nʲ e ɾʲ ə bˠ ə l̻ˠ a h
b'eireaballacha	bʲ e ɾʲ ə bˠ ə l̻ˠ a h ə
n-eireaballacha	nʲ e ɾʲ ə bˠ ə l̻ˠ a h ə
b'eireaballaí	bʲ e ɾʲ ə bˠ ə l̻ˠ iː
n-eireaballaí	nʲ e ɾʲ ə bˠ ə l̻ˠ iː
b'eireaballaigh	bʲ e ɾʲ ə bˠ ə l̻ˠ iː
n-eireaballaigh	nʲ e ɾʲ ə bˠ ə l̻ˠ iː
n-éireodh	nʲ eː ɾʲ o
d'éireodh	dʲ eː ɾʲ o
n-éireofá	nʲ eː ɾʲ oː h aː
d'éireofá	dʲ eː ɾʲ oː h aː
n-éireofaí	nʲ eː ɾʲ oː fˠ iː
d'éireofaí	dʲ eː ɾʲ oː fˠ iː
n-éireofar	nʲ eː ɾʲ oː fˠ ə ɾˠ
b'eireog	ˈ bʲ e  ɾʲ oː ɡ
n-eireog	ˈ nʲ e  ɾʲ oː ɡ
d'eireog	ˈ dʲ e  ɾʲ oː ɡ
m'eireog	ˈ mʲ e  ɾʲ oː ɡ
b'eireoga	bʲ e ɾʲ oː ɡ ə
n-eireoga	nʲ e ɾʲ oː ɡ ə
d'eireoga	dʲ e ɾʲ oː ɡ ə
m'eireoga	mʲ e ɾʲ oː ɡ ə
n-éireoidís	nʲ eː ɾʲ oː dʲ iː ʃ
d'éireoidís	dʲ eː ɾʲ oː dʲ iː ʃ
b'eireoige	bʲ e ɾʲ oː ɟ ə
n-eireoige	nʲ e ɾʲ oː ɟ ə
d'eireoige	dʲ e ɾʲ oː ɟ ə
m'eireoige	mʲ e ɾʲ oː ɟ ə
n-éireoimid	nʲ eː ɾʲ oː mʲ i dʲ
n-éireoimis	nʲ eː ɾʲ oː mʲ i ʃ
d'éireoimis	dʲ eː ɾʲ oː mʲ i ʃ
n-éireoinn	nʲ eː ɾʲ o n̻ʲ
d'éireoinn	dʲ eː ɾʲ o n̻ʲ
b'eirí	bʲ e ɾʲ iː
n-eirí	nʲ e ɾʲ iː
d'eirí	dʲ e ɾʲ iː
m'eirí	mʲ e ɾʲ iː
t-eiriceach	ˈ tʲ e  ɾʲ ə  c a h
b'eiriceach	ˈ bʲ e  ɾʲ ə  c a h
n-eiriceach	ˈ nʲ e  ɾʲ ə  c a h
d'eiriceach	ˈ dʲ e  ɾʲ ə  c a h
m'eiriceach	ˈ mʲ e  ɾʲ ə  c a h
b'eiriceacht	ˈ bʲ e  ɾʲ ə  c a x t̪ˠ
n-eiriceacht	ˈ nʲ e  ɾʲ ə  c a x t̪ˠ
d'eiriceacht	ˈ dʲ e  ɾʲ ə  c a x t̪ˠ
m'eiriceacht	ˈ mʲ e  ɾʲ ə  c a x t̪ˠ
b'eiriceachta	bʲ e ɾʲ i c ə ɾˠ t̪ˠ ə
n-eiriceachta	nʲ e ɾʲ i c ə ɾˠ t̪ˠ ə
d'eiriceachta	dʲ e ɾʲ i c ə ɾˠ t̪ˠ ə
m'eiriceachta	mʲ e ɾʲ i c ə ɾˠ t̪ˠ ə
b'eiriceachtaí	bʲ e ɾʲ i c ə ɾˠ t̪ˠ iː
n-eiriceachtaí	nʲ e ɾʲ i c ə ɾˠ t̪ˠ iː
d'eiriceachtaí	dʲ e ɾʲ i c ə ɾˠ t̪ˠ iː
m'eiriceachtaí	mʲ e ɾʲ i c ə ɾˠ t̪ˠ iː
b'éiricí	bʲ eː ɾʲ i c iː
n-éiricí	nʲ eː ɾʲ i c iː
d'éiricí	dʲ eː ɾʲ i c iː
m'éiricí	mʲ eː ɾʲ i c iː
b'eiricigh	bʲ e ɾʲ i c iː
n-eiricigh	nʲ e ɾʲ i c iː
d'eiricigh	dʲ e ɾʲ i c iː
m'eiricigh	mʲ e ɾʲ i c iː
b'eiriciúil	ˈ bʲ e  ɾʲ ə  c u lʲ
n-eiriciúil	ˈ nʲ e  ɾʲ ə  c u lʲ
b'eiriciúla	bʲ e ɾʲ i c uː l̻ˠ ə
n-eiriciúla	nʲ e ɾʲ i c uː l̻ˠ ə
n-éirídís	nʲ eː ɾʲ iː dʲ iː ʃ
d'éirídís	dʲ eː ɾʲ iː dʲ iː ʃ
b'eirigéis	bʲ e ɾʲ i ɟ e ʃ
n-eirigéis	nʲ e ɾʲ i ɟ e ʃ
d'eirigéis	dʲ e ɾʲ i ɟ e ʃ
m'eirigéis	mʲ e ɾʲ i ɟ e ʃ
b'eirigéise	bʲ e ɾʲ i ɟ eː ʃ ə
n-eirigéise	nʲ e ɾʲ i ɟ eː ʃ ə
d'eirigéise	dʲ e ɾʲ i ɟ eː ʃ ə
m'eirigéise	mʲ e ɾʲ i ɟ eː ʃ ə
b'eirigéisí	bʲ e ɾʲ i ɟ eː ʃ iː
n-eirigéisí	nʲ e ɾʲ i ɟ eː ʃ iː
d'eirigéisí	dʲ e ɾʲ i ɟ eː ʃ iː
m'eirigéisí	mʲ e ɾʲ i ɟ eː ʃ iː
b'éirime	bʲ eː ɾʲ i mʲ ə
n-éirime	nʲ eː ɾʲ i mʲ ə
d'éirime	dʲ eː ɾʲ i mʲ ə
m'éirime	mʲ eː ɾʲ i mʲ ə
b'éirimí	bʲ eː ɾʲ i mʲ iː
n-éirimí	nʲ eː ɾʲ i mʲ iː
d'éirimí	dʲ eː ɾʲ i mʲ iː
m'éirimí	mʲ eː ɾʲ i mʲ iː
n-éirímid	nʲ eː ɾʲ iː mʲ i dʲ
b'éirimiúlacht	bʲ eː ɾʲ i mʲ uː l̻ˠ a ɾˠ t̪ˠ
n-éirimiúlacht	nʲ eː ɾʲ i mʲ uː l̻ˠ a ɾˠ t̪ˠ
d'éirimiúlacht	dʲ eː ɾʲ i mʲ uː l̻ˠ a ɾˠ t̪ˠ
m'éirimiúlacht	mʲ eː ɾʲ i mʲ uː l̻ˠ a ɾˠ t̪ˠ
b'éirimiúlachta	bʲ eː ɾʲ i mʲ uː l̻ˠ ə ɾˠ t̪ˠ ə
n-éirimiúlachta	nʲ eː ɾʲ i mʲ uː l̻ˠ ə ɾˠ t̪ˠ ə
d'éirimiúlachta	dʲ eː ɾʲ i mʲ uː l̻ˠ ə ɾˠ t̪ˠ ə
m'éirimiúlachta	mʲ eː ɾʲ i mʲ uː l̻ˠ ə ɾˠ t̪ˠ ə
n-éirínn	nʲ eː ɾʲ iː n̻ʲ
d'éirínn	dʲ eː ɾʲ iː n̻ʲ
n-éiríodar	nʲ eː ɾʲ iː d̪ˠ ə ɾˠ
d'éiríodar	dʲ eː ɾʲ iː d̪ˠ ə ɾˠ
n-éiríodh	nʲ eː ɾʲ iː uː
d'éiríodh	dʲ eː ɾʲ iː uː
n-éiríomar	nʲ eː ɾʲ iː mˠ ə ɾˠ
d'éiríomar	dʲ eː ɾʲ iː mˠ ə ɾˠ
n-éiríteá	nʲ eː ɾʲ iː tʲ aː
d'éiríteá	dʲ eː ɾʲ iː tʲ aː
n-éirítear	nʲ eː ɾʲ iː tʲ ə ɾˠ
b'éiritheach	ˈ bʲ eː  ɾʲ i  hʲ a h
n-éiritheach	ˈ nʲ eː  ɾʲ i  hʲ a h
b'éiritheacha	bʲ eː ɾʲ i hʲ a h ə
n-éiritheacha	nʲ eː ɾʲ i hʲ a h ə
b'éiritheacht	bʲ eː ɾʲ i hʲ a ɾˠ t̪ˠ
n-éiritheacht	nʲ eː ɾʲ i hʲ a ɾˠ t̪ˠ
d'éiritheacht	dʲ eː ɾʲ i hʲ a ɾˠ t̪ˠ
m'éiritheacht	mʲ eː ɾʲ i hʲ a ɾˠ t̪ˠ
b'éiritheachta	bʲ eː ɾʲ i hʲ ə ɾˠ t̪ˠ ə
n-éiritheachta	nʲ eː ɾʲ i hʲ ə ɾˠ t̪ˠ ə
d'éiritheachta	dʲ eː ɾʲ i hʲ ə ɾˠ t̪ˠ ə
m'éiritheachta	mʲ eː ɾʲ i hʲ ə ɾˠ t̪ˠ ə
b'éirithí	bʲ eː ɾʲ i hʲ iː
n-éirithí	nʲ eː ɾʲ i hʲ iː
b'éirithigh	bʲ eː ɾʲ i hʲ iː
n-éirithigh	nʲ eː ɾʲ i hʲ iː
n-éirítí	nʲ eː ɾʲ iː tʲ iː
d'éirítí	dʲ eː ɾʲ iː tʲ iː
t-eirleach	ˈ tʲ eː ɾˠ  lʲ a h
b'eirleach	ˈ bʲ eː ɾˠ  lʲ a h
n-eirleach	ˈ nʲ eː ɾˠ  lʲ a h
d'eirleach	ˈ dʲ eː ɾˠ  lʲ a h
m'eirleach	ˈ mʲ eː ɾˠ  lʲ a h
b'eirligh	bʲ e ɾˠ lʲ iː
n-eirligh	nʲ e ɾˠ lʲ iː
d'eirligh	dʲ e ɾˠ lʲ iː
m'eirligh	mʲ e ɾˠ lʲ iː
t-eirmín	ˈ tʲ e  ɾʲ ə  mʲ iː nʲ
b'eirmín	ˈ bʲ e  ɾʲ ə  mʲ iː nʲ
n-eirmín	ˈ nʲ e  ɾʲ ə  mʲ iː nʲ
d'eirmín	ˈ dʲ e  ɾʲ ə  mʲ iː nʲ
m'eirmín	ˈ mʲ e  ɾʲ ə  mʲ iː nʲ
n-éirneodh	nʲ eː ɾˠ nʲ o
d'éirneodh	dʲ eː ɾˠ nʲ o
n-éirneofá	nʲ eː ɾˠ nʲ oː h aː
d'éirneofá	dʲ eː ɾˠ nʲ oː h aː
n-éirneofaí	nʲ eː ɾˠ nʲ oː fˠ iː
d'éirneofaí	dʲ eː ɾˠ nʲ oː fˠ iː
n-éirneofar	nʲ eː ɾˠ nʲ oː fˠ ə ɾˠ
n-éirneoidh	nʲ eː ɾˠ nʲ o j
n-éirneoidís	nʲ eː ɾˠ nʲ oː dʲ iː ʃ
d'éirneoidís	dʲ eː ɾˠ nʲ oː dʲ iː ʃ
n-éirneoimid	nʲ eː ɾˠ nʲ oː mʲ i dʲ
n-éirneoimis	nʲ eː ɾˠ nʲ oː mʲ i ʃ
d'éirneoimis	dʲ eː ɾˠ nʲ oː mʲ i ʃ
n-éirneoinn	nʲ eː ɾˠ nʲ o n̻ʲ
d'éirneoinn	dʲ eː ɾˠ nʲ o n̻ʲ
n-éirní	nʲ eː ɾˠ nʲ iː
n-éirnídís	nʲ eː ɾˠ nʲ iː dʲ iː ʃ
d'éirnídís	dʲ eː ɾˠ nʲ iː dʲ iː ʃ
n-éirnigh	nʲ eː ɾˠ nʲ iː
d'éirnigh	dʲ eː ɾˠ nʲ iː
n-éirnígí	nʲ eː ɾˠ nʲ iː ɟ iː
n-éirním	nʲ eː ɾˠ nʲ iː mʲ
n-éirnímid	nʲ eː ɾˠ nʲ iː mʲ i dʲ
n-éirnímis	nʲ eː ɾˠ nʲ iː mʲ i ʃ
d'éirnímis	dʲ eː ɾˠ nʲ iː mʲ i ʃ
n-éirnínn	nʲ eː ɾˠ nʲ iː n̻ʲ
d'éirnínn	dʲ eː ɾˠ nʲ iː n̻ʲ
n-éirníodar	nʲ eː ɾˠ nʲ iː d̪ˠ ə ɾˠ
d'éirníodar	dʲ eː ɾˠ nʲ iː d̪ˠ ə ɾˠ
n-éirníodh	nʲ eː ɾˠ nʲ iː uː
d'éirníodh	dʲ eː ɾˠ nʲ iː uː
n-éirníomar	nʲ eː ɾˠ nʲ iː mˠ ə ɾˠ
d'éirníomar	dʲ eː ɾˠ nʲ iː mˠ ə ɾˠ
n-éirníonn	nʲ eː ɾˠ nʲ iː n̻ˠ
n-éirníteá	nʲ eː ɾˠ nʲ iː tʲ aː
d'éirníteá	dʲ eː ɾˠ nʲ iː tʲ aː
n-éirnítear	nʲ eː ɾˠ nʲ iː tʲ ə ɾˠ
b'éirnithe	bʲ eː ɾˠ nʲ iː
n-éirnithe	nʲ eː ɾˠ nʲ iː
d'éirnithe	dʲ eː ɾˠ nʲ iː
m'éirnithe	mʲ eː ɾˠ nʲ iː
n-éirnítí	nʲ eː ɾˠ nʲ iː tʲ iː
d'éirnítí	dʲ eː ɾˠ nʲ iː tʲ iː
t-éirniú	tʲ eː ɾˠ nʲ uː
b'éirniú	bʲ eː ɾˠ nʲ uː
n-éirniú	nʲ eː ɾˠ nʲ uː
d'éirniú	dʲ eː ɾˠ nʲ uː
m'éirniú	mʲ eː ɾˠ nʲ uː
b'eirre	bʲ e ɾʲ ə
n-eirre	nʲ e ɾʲ ə
d'eirre	dʲ e ɾʲ ə
m'eirre	mʲ e ɾʲ ə
n-eis	nʲ e ʃ
d'eis	dʲ e ʃ
b'eisbheartach	bʲ e ʃ vʲ ə ɾˠ t̪ˠ a h
n-eisbheartach	nʲ e ʃ vʲ ə ɾˠ t̪ˠ a h
b'eisbheartacha	bʲ e ʃ vʲ ə ɾˠ t̪ˠ a h ə
n-eisbheartacha	nʲ e ʃ vʲ ə ɾˠ t̪ˠ a h ə
b'eisbheartaí	bʲ e ʃ vʲ ə ɾˠ t̪ˠ iː
n-eisbheartaí	nʲ e ʃ vʲ ə ɾˠ t̪ˠ iː
b'eisbheartaigh	bʲ e ʃ vʲ ə ɾˠ t̪ˠ iː
n-eisbheartaigh	nʲ e ʃ vʲ ə ɾˠ t̪ˠ iː
n-eisce	nʲ e ʃ c ə
b'eisceachta	bʲ e ʃ c ə ɾˠ t̪ˠ ə
n-eisceachta	nʲ e ʃ c ə ɾˠ t̪ˠ ə
d'eisceachta	dʲ e ʃ c ə ɾˠ t̪ˠ ə
m'eisceachta	mʲ e ʃ c ə ɾˠ t̪ˠ ə
b'eisceachtaí	bʲ e ʃ c ə ɾˠ t̪ˠ iː
n-eisceachtaí	nʲ e ʃ c ə ɾˠ t̪ˠ iː
d'eisceachtaí	dʲ e ʃ c ə ɾˠ t̪ˠ iː
m'eisceachtaí	mʲ e ʃ c ə ɾˠ t̪ˠ iː
b'eisceachtúla	bʲ e ʃ c ə ɾˠ t̪ˠ uː l̻ˠ ə
n-eisceachtúla	nʲ e ʃ c ə ɾˠ t̪ˠ uː l̻ˠ ə
n-eisceadar	nʲ e ʃ c ə d̪ˠ ə ɾˠ
d'eisceadar	dʲ e ʃ c ə d̪ˠ ə ɾˠ
t-eisceadh	tʲ e ʃ c uː
b'eisceadh	bʲ e ʃ c uː
n-eisceadh	nʲ e ʃ c uː
d'eisceadh	dʲ e ʃ c uː
m'eisceadh	mʲ e ʃ c uː
n-eisceamar	nʲ e ʃ c ə mˠ ə ɾˠ
d'eisceamar	dʲ e ʃ c ə mˠ ə ɾˠ
n-eisceann	nʲ e ʃ c ə n̻ˠ
n-eiscfeá	nʲ e ʃ c aː
d'eiscfeá	dʲ e ʃ c aː
n-eiscfeadh	nʲ e ʃ c uː
d'eiscfeadh	dʲ e ʃ c uː
n-eiscfear	nʲ e ʃ c fʲ ə ɾˠ
n-eiscfí	nʲ e ʃ c fʲ iː
d'eiscfí	dʲ e ʃ c fʲ iː
n-eiscfidh	nʲ e ʃ c iː
n-eiscfidís	nʲ e ʃ c i dʲ iː ʃ
d'eiscfidís	dʲ e ʃ c i dʲ iː ʃ
n-eiscfimid	nʲ e ʃ c i mʲ i dʲ
n-eiscfimis	nʲ e ʃ c i mʲ i ʃ
d'eiscfimis	dʲ e ʃ c i mʲ i ʃ
n-eiscfinn	nʲ e ʃ c i n̻ʲ
d'eiscfinn	dʲ e ʃ c i n̻ʲ
b'eischeadúnais	bʲ e ʃ ç ə d̪ˠ uː n̻ˠ ə ʃ
n-eischeadúnais	nʲ e ʃ ç ə d̪ˠ uː n̻ˠ ə ʃ
d'eischeadúnais	dʲ e ʃ ç ə d̪ˠ uː n̻ˠ ə ʃ
m'eischeadúnais	mʲ e ʃ ç ə d̪ˠ uː n̻ˠ ə ʃ
t-eischeadúnas	tʲ e ʃ ç ə d̪ˠ uː n̻ˠ ə sˠ
b'eischeadúnas	bʲ e ʃ ç ə d̪ˠ uː n̻ˠ ə sˠ
n-eischeadúnas	nʲ e ʃ ç ə d̪ˠ uː n̻ˠ ə sˠ
d'eischeadúnas	dʲ e ʃ ç ə d̪ˠ uː n̻ˠ ə sˠ
m'eischeadúnas	mʲ e ʃ ç ə d̪ˠ uː n̻ˠ ə sˠ
n-eiscidís	nʲ e ʃ c i dʲ iː ʃ
d'eiscidís	dʲ e ʃ c i dʲ iː ʃ
n-eiscigí	nʲ e ʃ c i ɟ iː
n-eiscim	nʲ e ʃ c i mʲ
n-eiscimid	nʲ e ʃ c i mʲ i dʲ
n-eiscinn	nʲ e ʃ c i n̻ʲ
d'eiscinn	dʲ e ʃ c i n̻ʲ
b'eiscir	ˈ bʲ e ʃ  c ə ɾʲ
n-eiscir	ˈ nʲ e ʃ  c ə ɾʲ
d'eiscir	ˈ dʲ e ʃ  c ə ɾʲ
m'eiscir	ˈ mʲ e ʃ  c ə ɾʲ
n-eiscteá	nʲ e ʃ c tʲ aː
d'eiscteá	dʲ e ʃ c tʲ aː
n-eisctear	nʲ e ʃ c tʲ ə ɾˠ
n-eisctí	nʲ e ʃ c tʲ iː
d'eisctí	dʲ e ʃ c tʲ iː
t-eisdíritheach	ˈ tʲ e ʃ  dʲ iː  ɾʲ i  hʲ a h
b'eisdíritheach	ˈ bʲ e ʃ  dʲ iː  ɾʲ i  hʲ a h
n-eisdíritheach	ˈ nʲ e ʃ  dʲ iː  ɾʲ i  hʲ a h
d'eisdíritheach	ˈ dʲ e ʃ  dʲ iː  ɾʲ i  hʲ a h
m'eisdíritheach	ˈ mʲ e ʃ  dʲ iː  ɾʲ i  hʲ a h
b'eisdíritheacht	bʲ e ʃ dʲ iː ɾʲ i hʲ a ɾˠ t̪ˠ
n-eisdíritheacht	nʲ e ʃ dʲ iː ɾʲ i hʲ a ɾˠ t̪ˠ
